nohup: ignoring input
Read Training Data ...
Done ...
Read Testing Data ...
Done ...
Train Epoch 1 iter 1 Loss: 2.2934, Accuracy: 0.1600
Train Epoch 1 iter 2 Loss: 29.7551, Accuracy: 0.1400
Train Epoch 1 iter 3 Loss: 33.4347, Accuracy: 0.0200
Train Epoch 1 iter 4 Loss: 26.4772, Accuracy: 0.1200
Train Epoch 1 iter 5 Loss: 26.0313, Accuracy: 0.0800
Train Epoch 1 iter 6 Loss: 20.5999, Accuracy: 0.2400
Train Epoch 1 iter 7 Loss: 22.6513, Accuracy: 0.1400
Train Epoch 1 iter 8 Loss: 16.3715, Accuracy: 0.1600
Train Epoch 1 iter 9 Loss: 15.2762, Accuracy: 0.1600
Train Epoch 1 iter 10 Loss: 13.6110, Accuracy: 0.0800
Train Epoch 1 iter 11 Loss: 13.3607, Accuracy: 0.1200
Train Epoch 1 iter 12 Loss: 10.5130, Accuracy: 0.1000
Train Epoch 1 iter 13 Loss: 9.6425, Accuracy: 0.1200
Train Epoch 1 iter 14 Loss: 8.5150, Accuracy: 0.1200
Train Epoch 1 iter 15 Loss: 7.1387, Accuracy: 0.1000
Train Epoch 1 iter 16 Loss: 6.3848, Accuracy: 0.0400
Train Epoch 1 iter 17 Loss: 5.4201, Accuracy: 0.0800
Train Epoch 1 iter 18 Loss: 4.4948, Accuracy: 0.0800
Train Epoch 1 iter 19 Loss: 4.2598, Accuracy: 0.1600
Train Epoch 1 iter 20 Loss: 3.7635, Accuracy: 0.2000
Train Epoch 1 iter 21 Loss: 3.1271, Accuracy: 0.2000
Train Epoch 1 iter 22 Loss: 2.9849, Accuracy: 0.1800
Train Epoch 1 iter 23 Loss: 2.5579, Accuracy: 0.1800
Train Epoch 1 iter 24 Loss: 2.8310, Accuracy: 0.0200
Train Epoch 1 iter 25 Loss: 2.5957, Accuracy: 0.1200
Train Epoch 1 iter 26 Loss: 2.8907, Accuracy: 0.1000
Train Epoch 1 iter 27 Loss: 2.1912, Accuracy: 0.2800
Train Epoch 1 iter 28 Loss: 2.3265, Accuracy: 0.1200
Train Epoch 1 iter 29 Loss: 2.3501, Accuracy: 0.1200
Train Epoch 1 iter 30 Loss: 2.3437, Accuracy: 0.1200
Train Epoch 1 iter 31 Loss: 2.4507, Accuracy: 0.1200
Train Epoch 1 iter 32 Loss: 2.3760, Accuracy: 0.1600
Train Epoch 1 iter 33 Loss: 2.2382, Accuracy: 0.1800
Train Epoch 1 iter 34 Loss: 2.3258, Accuracy: 0.1400
Train Epoch 1 iter 35 Loss: 2.2743, Accuracy: 0.1600
Train Epoch 1 iter 36 Loss: 2.3142, Accuracy: 0.1200
Train Epoch 1 iter 37 Loss: 2.2091, Accuracy: 0.1400
Train Epoch 1 iter 38 Loss: 2.2899, Accuracy: 0.1800
Train Epoch 1 iter 39 Loss: 2.2226, Accuracy: 0.1400
Train Epoch 1 iter 40 Loss: 2.2429, Accuracy: 0.2000
Train Epoch 1 iter 41 Loss: 2.2416, Accuracy: 0.0800
Train Epoch 1 iter 42 Loss: 2.3238, Accuracy: 0.0800
Train Epoch 1 iter 43 Loss: 2.2770, Accuracy: 0.1800
Train Epoch 1 iter 44 Loss: 2.2950, Accuracy: 0.1200
Train Epoch 1 iter 45 Loss: 2.2435, Accuracy: 0.1600
Train Epoch 1 iter 46 Loss: 2.3141, Accuracy: 0.1000
Train Epoch 1 iter 47 Loss: 2.2335, Accuracy: 0.1800
Train Epoch 1 iter 48 Loss: 2.2543, Accuracy: 0.1200
Train Epoch 1 iter 49 Loss: 2.3413, Accuracy: 0.1400
Train Epoch 1 iter 50 Loss: 2.3179, Accuracy: 0.1400
Train Epoch 1 iter 51 Loss: 2.2329, Accuracy: 0.1400
Train Epoch 1 iter 52 Loss: 2.3066, Accuracy: 0.1200
Train Epoch 1 iter 53 Loss: 2.2109, Accuracy: 0.1200
Train Epoch 1 iter 54 Loss: 2.2070, Accuracy: 0.1800
Train Epoch 1 iter 55 Loss: 2.2061, Accuracy: 0.1400
Train Epoch 1 iter 56 Loss: 2.2715, Accuracy: 0.1800
Train Epoch 1 iter 57 Loss: 2.1851, Accuracy: 0.1800
Train Epoch 1 iter 58 Loss: 2.2263, Accuracy: 0.2000
Train Epoch 1 iter 59 Loss: 2.2094, Accuracy: 0.2000
Train Epoch 1 iter 60 Loss: 2.3690, Accuracy: 0.1600
Train Epoch 1 iter 61 Loss: 2.2172, Accuracy: 0.2600
Train Epoch 1 iter 62 Loss: 2.3187, Accuracy: 0.1000
Train Epoch 1 iter 63 Loss: 2.2313, Accuracy: 0.1400
Train Epoch 1 iter 64 Loss: 2.2909, Accuracy: 0.0400
Train Epoch 1 iter 65 Loss: 2.5847, Accuracy: 0.1400
Train Epoch 1 iter 66 Loss: 2.3627, Accuracy: 0.2400
Train Epoch 1 iter 67 Loss: 2.3239, Accuracy: 0.1600
Train Epoch 1 iter 68 Loss: 2.1967, Accuracy: 0.1600
Train Epoch 1 iter 69 Loss: 2.2484, Accuracy: 0.2000
Train Epoch 1 iter 70 Loss: 2.3486, Accuracy: 0.1200
Train Epoch 1 iter 71 Loss: 2.2559, Accuracy: 0.0600
